,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,CL1_Comdty_buy,CL1_Comdty_sell,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,GC1_Comdty_buy,GC1_Comdty_sell,considered_assets,sub_considered_assets_1,sub_considered_assets_2,weighted_return,weighted_return_l,weighted_return_s
2003-03-08,Saturday,158.88537,,,,,759.73825,,,,,,,,,,
2003-03-09,Sunday,158.88537,,,,,759.73825,,,,,,,,,,
2003-03-10,Monday,155.40418,,,,,761.63273,,,,,,,,,,
2003-03-11,Tuesday,153.61903,,,,,755.11472,,,,,,,,,,
2003-03-12,Wednesday,158.45312,,,,,747.39759,,,,,,,,,,
2003-03-13,Thursday,152.75539,,,,,733.78929,,,,,,,,,,
2003-03-14,Friday,152.23061,start,-0.0418840324946216,-100.0,-100.0,745.61896,start,-0.0185844137767184,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.02614351280293703, 'CL1_Comdty': -0.7035940354352216}","{'CL1_Comdty': 0.23397933775251, 'GC1_Comdty': -0.0039378090680064716}",0.023299618717903203,-0.0185844137767184,0.0418840324946216
2003-03-15,Saturday,152.23061,,,,,745.61896,,,,,,,,,,
2003-03-16,Sunday,152.23061,,,,,745.61896,,,,,,,,,,
2003-03-17,Monday,151.8984,,,,,754.91986,,,,,,,,,,
2003-03-18,Tuesday,137.80148,,,,,756.47672,,,,,,,,,,
2003-03-19,Wednesday,130.71775,,,,,757.19955,,,,,,,,,,
2003-03-20,Thursday,124.83786,,,,,748.05125,,,,,,,,,,
2003-03-21,Friday,124.83786,start,-0.1799424570393563,-100.0,-100.0,740.89413,start,-0.00633678896792,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.048252019790568645, 'CL1_Comdty': -0.5077300071308727}","{'CL1_Comdty': 0.1774885686460563, 'GC1_Comdty': -0.013131479519366676}",0.1736056680714363,-0.00633678896792,0.1799424570393563
2003-03-22,Saturday,124.83786,,,,,740.89413,,,,,,,,,,
2003-03-23,Sunday,124.83786,,,,,740.89413,,,,,,,,,,
2003-03-24,Monday,131.18427,,,,,738.64156,,,,,,,,,,
2003-03-25,Tuesday,127.94273,,,,,735.47308,,,,,,,,,,
2003-03-26,Wednesday,130.91443,,,,,739.23826,,,,,,,,,,
2003-03-27,Thursday,139.00134,,,,,736.12251,,,,,,,,,,
2003-03-28,Friday,136.31506,start,0.091936853130933,-100.0,-100.0,733.78492,start,-0.0095954465181144,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.035194104994967626, 'CL1_Comdty': -0.5713246177581007}","{'CL1_Comdty': 0.11893135135854911, 'GC1_Comdty': -0.07223381200179861}",-0.10153229964904739,-0.0095954465181144,-0.091936853130933
2003-03-29,Saturday,136.31506,,,,,733.78492,,,,,,,,,,
2003-03-30,Sunday,136.31506,,,,,733.78492,,,,,,,,,,
2003-03-31,Monday,138.9172,,,,,736.42853,,,,,,,,,,
2003-04-01,Tuesday,133.26832,,,,,732.65838,,,,,,,,,,
2003-04-02,Wednesday,130.2544,,,,,735.98593,,,,,,,,,,
2003-04-03,Thursday,132.24882,,,,,726.20015,,,,,,,,,,
2003-04-04,Friday,131.25667,start,-0.0371080788872482,-100.0,-100.0,730.23833,start,-0.0048332827553883,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.027373258795502235, 'CL1_Comdty': -0.5290916288279505}","{'CL1_Comdty': 0.1152414694279521, 'GC1_Comdty': -0.0599479295888441}",0.0322747961318599,-0.0048332827553883,0.0371080788872482
2003-04-05,Saturday,131.25667,,,,,730.23833,,,,,,,,,,
2003-04-06,Sunday,131.25667,,,,,730.23833,,,,,,,,,,
2003-04-07,Monday,129.25592,,,,,727.50182,,,,,,,,,,
2003-04-08,Tuesday,128.8576,,,,,725.79727,,,,,,,,,,
2003-04-09,Wednesday,131.61517,,,,,726.84088,,,,,,,,,,
2003-04-10,Thursday,125.63708,,,,,731.40611,,,,,,,,,,
2003-04-11,Friday,129.5205,start,-0.0132272897064965,-100.0,-100.0,738.49075,start,0.0113009953887247,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.03829073173365042, 'CL1_Comdty': -0.48778468867063074}","{'CL1_Comdty': 0.17914498277681903, 'GC1_Comdty': -0.071461234811264}",0.0245282850952212,0.0113009953887247,0.0132272897064965
2003-04-12,Saturday,129.5205,,,,,738.49075,,,,,,,,,,
2003-04-13,Sunday,129.5205,,,,,738.49075,,,,,,,,,,
2003-04-14,Monday,131.46345,,,,,728.66628,,,,,,,,,,
2003-04-15,Tuesday,134.85236,,,,,731.9568,,,,,,,,,,
2003-04-16,Wednesday,132.71543,,,,,724.85058,,,,,,,,,,
2003-04-17,Thursday,139.38075,,,,,730.01328,,,,,,,,,,
2003-04-18,Friday,139.38075,start,0.0761288753517783,-100.0,-100.0,730.01328,start,-0.0114794531955884,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.04005164774896048, 'CL1_Comdty': -0.6012448823610146}","{'CL1_Comdty': 0.013874853023566443, 'GC1_Comdty': -0.07263123985733619}",-0.08760832854736669,-0.0114794531955884,-0.0761288753517783
2003-04-19,Saturday,139.38075,,,,,730.01328,,,,,,,,,,
2003-04-20,Sunday,139.38075,,,,,730.01328,,,,,,,,,,
2003-04-21,Monday,141.78993,,,,,749.06662,,,,,,,,,,
2003-04-22,Tuesday,135.70925,,,,,741.9485,,,,,,,,,,
2003-04-23,Wednesday,129.69248,,,,,738.25531,,,,,,,,,,
2003-04-24,Thursday,127.95903,,,,,735.68668,,,,,,,,,,
2003-04-25,Friday,126.31007,start,-0.0937767948586875,-100.0,-100.0,733.63696,start,0.004963854904119,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.05120458564616516, 'CL1_Comdty': -0.4598259645713351}","{'GC1_Comdty': -0.0965453015439821, 'CL1_Comdty': -0.11136172823856419}",0.09874064976280651,0.004963854904119,0.0937767948586875
2003-04-26,Saturday,126.31007,,,,,733.63696,,,,,,,,,,
2003-04-27,Sunday,126.31007,,,,,733.63696,,,,,,,,,,
2003-04-28,Monday,123.41691,,,,,740.92125,,,,,,,,,,
2003-04-29,Tuesday,121.82301,,,,,736.83154,,,,,,,,,,
2003-04-30,Wednesday,123.65082,,,,,743.48273,,,,,,,,,,
2003-05-01,Thursday,123.42881,,,,,742.09223,,,,,,,,,,
2003-05-02,Friday,121.98478,start,-0.0342434296806263,-100.0,-100.0,741.30653,start,0.010454176136382,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.06237079038319766, 'CL1_Comdty': -0.43310142021581877}","{'CL1_Comdty': -0.06898230446120038, 'GC1_Comdty': -0.08418514631496027}",0.044697605817008296,0.010454176136382,0.0342434296806263
2003-05-03,Saturday,121.98478,,,,,741.30653,,,,,,,,,,
2003-05-04,Sunday,121.98478,,,,,741.30653,,,,,,,,,,
2003-05-05,Monday,125.66619,,,,,742.85765,,,,,,,,,,
2003-05-06,Tuesday,121.27732,,,,,738.80731,,,,,,,,,,
2003-05-07,Wednesday,122.86659,,,,,732.65121,,,,,,,,,,
2003-05-08,Thursday,125.27399,,,,,740.03568,,,,,,,,,,
2003-05-09,Friday,128.64141,start,0.0545693487335059,-100.0,-100.0,740.06574,start,-0.0016737880347552,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.061325469493241684, 'CL1_Comdty': -0.45634261993950687}","{'GC1_Comdty': -0.09163249000815595, 'CL1_Comdty': -0.10083622854398744}",-0.0562431367682611,-0.0016737880347552,-0.0545693487335059
2003-05-10,Saturday,128.64141,,,,,740.06574,,,,,,,,,,
2003-05-11,Sunday,128.64141,,,,,740.06574,,,,,,,,,,
2003-05-12,Monday,126.68276,,,,,745.00847,,,,,,,,,,
2003-05-13,Tuesday,132.39209,,,,,743.55841,,,,,,,,,,
2003-05-14,Wednesday,135.3911,,,,,747.81569,,,,,,,,,,
2003-05-15,Thursday,134.25838,,,,,753.29482,,,,,,,,,,
2003-05-16,Friday,134.9224,start,0.0488255686874079,-100.0,-100.0,751.07322,start,0.0148736516299214,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.080043279607484, 'CL1_Comdty': -0.5342928553275048}","{'GC1_Comdty': -0.09363618539033504, 'CL1_Comdty': -0.10072866947530205}",-0.0339519170574865,0.0148736516299214,-0.0488255686874079
2003-05-17,Saturday,134.9224,,,,,751.07322,,,,,,,,,,
2003-05-18,Sunday,134.9224,,,,,751.07322,,,,,,,,,,
2003-05-19,Monday,131.89805,,,,,761.99803,,,,,,,,,,
2003-05-20,Tuesday,133.69819,,,,,764.90972,,,,,,,,,,
2003-05-21,Wednesday,136.63706,,,,,776.92621,,,,,,,,,,
2003-05-22,Thursday,136.16803,,,,,770.50788,,,,,,,,,,
2003-05-23,Friday,137.11091,start,0.0162205089740471,-100.0,-100.0,769.05485,start,0.0239412476988595,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.10348889798085167, 'CL1_Comdty': -0.5275047026923695}","{'GC1_Comdty': -0.1010346264019964, 'CL1_Comdty': -0.10896501201188163}",0.007720738724812399,0.0239412476988595,-0.0162205089740471
2003-05-24,Saturday,137.11091,,,,,769.05485,,,,,,,,,,
2003-05-25,Sunday,137.11091,,,,,769.05485,,,,,,,,,,
2003-05-26,Monday,137.11091,,,,,769.05485,,,,,,,,,,
2003-05-27,Tuesday,137.11725,,,,,762.03976,,,,,,,,,,
2003-05-28,Wednesday,134.86245,,,,,764.26067,,,,,,,,,,
2003-05-29,Thursday,136.20361,,,,,767.38368,,,,,,,,,,
2003-05-30,Friday,140.02503,start,0.0212537426817457,-100.0,-100.0,765.9524,start,-0.004034107580233,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.10243659164988095, 'CL1_Comdty': -0.537232494020375}","{'CL1_Comdty': -0.08939336342695767, 'GC1_Comdty': -0.09542845038763208}",-0.0252878502619787,-0.004034107580233,-0.0212537426817457
2003-05-31,Saturday,140.02503,,,,,765.9524,,,,,,,,,,
2003-06-01,Sunday,140.02503,,,,,765.9524,,,,,,,,,,
2003-06-02,Monday,145.13708,,,,,767.32138,,,,,,,,,,
2003-06-03,Tuesday,146.33286,,,,,772.96413,,,,,,,,,,
2003-06-04,Wednesday,143.68109,,,,,768.90619,,,,,,,,,,
2003-06-05,Thursday,145.14454,,,,,771.62383,,,,,,,,,,
2003-06-06,Friday,150.41646,start,0.0742112320918625,-100.0,-100.0,775.21203,start,0.0120890410422371,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.10842260542778928, 'CL1_Comdty': -0.6097968487557904}","{'GC1_Comdty': -0.0995008153881414, 'CL1_Comdty': -0.1120511320821584}",-0.06212219104962541,0.0120890410422371,-0.0742112320918625
2003-06-07,Saturday,150.41646,,,,,775.21203,,,,,,,,,,
2003-06-08,Sunday,150.41646,,,,,775.21203,,,,,,,,,,
2003-06-09,Monday,150.43231,,,,,767.08346,,,,,,,,,,
2003-06-10,Tuesday,151.80627,,,,,746.52193,,,,,,,,,,
2003-06-11,Wednesday,154.07804,,,,,750.10232,,,,,,,,,,
2003-06-12,Thursday,150.34067,,,,,746.79772,,,,,,,,,,
2003-06-13,Friday,145.37806,start,-0.0334963341113066,-100.0,-100.0,749.33187,start,-0.0333846212371085,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.0763681471757354, 'CL1_Comdty': -0.6552860737512959}","{'CL1_Comdty': -0.06645885765165514, 'GC1_Comdty': -0.07655012141210059}",0.00011171287419809578,-0.0333846212371085,0.0334963341113066
2003-06-14,Saturday,145.37806,,,,,749.33187,,,,,,,,,,
2003-06-15,Sunday,145.37806,,,,,749.33187,,,,,,,,,,
2003-06-16,Monday,148.03954,,,,,755.32942,,,,,,,,,,
2003-06-17,Tuesday,147.7096,,,,,764.93497,,,,,,,,,,
2003-06-18,Wednesday,146.24671,,,,,762.28791,,,,,,,,,,
2003-06-19,Thursday,143.65441,,,,,767.25559,,,,,,,,,,
2003-06-20,Friday,149.55116,start,0.0287051567478614,-100.0,-100.0,765.51657,start,0.0215988411116159,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.10432573022604112, 'CL1_Comdty': -0.6196277702117269}","{'CL1_Comdty': -0.028424663601256624, 'GC1_Comdty': -0.040847752269211585}",-0.007106315636245499,0.0215988411116159,-0.0287051567478614
2003-06-21,Saturday,149.55116,,,,,765.51657,,,,,,,,,,
2003-06-22,Sunday,149.55116,,,,,765.51657,,,,,,,,,,
2003-06-23,Monday,146.97913,,,,,753.31217,,,,,,,,,,
2003-06-24,Tuesday,145.80287,,,,,743.05047,,,,,,,,,,
2003-06-25,Wednesday,150.95493,,,,,745.43725,,,,,,,,,,
2003-06-26,Thursday,148.79027,,,,,746.83877,,,,,,,,,,
2003-06-27,Friday,150.63635,start,0.007256312822983,-100.0,-100.0,752.219,start,-0.0173707147841358,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.07870284894276983, 'CL1_Comdty': -0.620333640224483}","{'GC1_Comdty': -0.009064602565287133, 'CL1_Comdty': -0.05910213036025725}",-0.024627027607118802,-0.0173707147841358,-0.007256312822983
2003-06-28,Saturday,150.63635,,,,,752.219,,,,,,,,,,
2003-06-29,Sunday,150.63635,,,,,752.219,,,,,,,,,,
2003-06-30,Monday,155.53197,,,,,754.74154,,,,,,,,,,
2003-07-01,Tuesday,155.16725,,,,,759.43052,,,,,,,,,,
2003-07-02,Wednesday,154.62577,,,,,762.83853,,,,,,,,,,
2003-07-03,Thursday,156.16102,,,,,762.92313,,,,,,,,,,
2003-07-04,Friday,156.16102,start,0.0366755434528253,-100.0,-100.0,762.92313,start,0.0142300712957263,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.10158529411123451, 'CL1_Comdty': -0.6780970150931458}","{'GC1_Comdty': 0.028023023653136452, 'CL1_Comdty': -0.013112098866215829}",-0.022445472157099,0.0142300712957263,-0.0366755434528253
2003-07-05,Saturday,156.16102,,,,,762.92313,,,,,,,,,,
2003-07-06,Sunday,156.16102,,,,,762.92313,,,,,,,,,,
2003-07-07,Monday,157.26452,,,,,769.30571,,,,,,,,,,
2003-07-08,Tuesday,157.69976,,,,,760.30688,,,,,,,,,,
2003-07-09,Wednesday,160.30926,,,,,755.2708,,,,,,,,,,
2003-07-10,Thursday,160.92446,,,,,755.30973,,,,,,,,,,
2003-07-11,Friday,163.39797,start,0.0463428709674154,-100.0,-100.0,762.6303,start,-0.0003838263495825,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.09216620362441033, 'CL1_Comdty': -0.7146389100826145}","{'CL1_Comdty': 0.06468162668003255, 'GC1_Comdty': -0.009976940059288241}",-0.0467266973169979,-0.0003838263495825,-0.0463428709674154
2003-07-12,Saturday,163.39797,,,,,762.6303,,,,,,,,,,
2003-07-13,Sunday,163.39797,,,,,762.6303,,,,,,,,,,
2003-07-14,Monday,163.50048,,,,,769.32513,,,,,,,,,,
2003-07-15,Tuesday,166.67868,,,,,763.11041,,,,,,,,,,
2003-07-16,Wednesday,162.5984,,,,,760.31074,,,,,,,,,,
2003-07-17,Thursday,163.84986,,,,,759.80887,,,,,,,,,,
2003-07-18,Friday,165.6361,start,0.0136974161918903,-100.0,-100.0,761.45143,start,-0.0015457948628582,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.09934262484199881, 'CL1_Comdty': -0.7396356539381159}","{'GC1_Comdty': 0.026471676490211492, 'CL1_Comdty': 0.0017696669359620865}",-0.015243211054748499,-0.0015457948628582,-0.0136974161918903
2003-07-19,Saturday,165.6361,,,,,761.45143,,,,,,,,,,
2003-07-20,Sunday,165.6361,,,,,761.45143,,,,,,,,,,
2003-07-21,Monday,164.00154,,,,,766.28506,,,,,,,,,,
2003-07-22,Tuesday,156.40542,,,,,768.6235,,,,,,,,,,
2003-07-23,Wednesday,155.62565,,,,,777.49186,,,,,,,,,,
2003-07-24,Thursday,159.00516,,,,,787.74554,,,,,,,,,,
2003-07-25,Friday,157.90728,start,-0.0466614463875931,-100.0,-100.0,784.68431,start,0.0305113091717485,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.1370672486309236, 'CL1_Comdty': -0.6927908397540805}","{'GC1_Comdty': 0.03173870434665505, 'CL1_Comdty': 0.022558073927602968}",0.0771727555593416,0.0305113091717485,0.0466614463875931
2003-07-26,Saturday,157.90728,,,,,784.68431,,,,,,,,,,
2003-07-27,Sunday,157.90728,,,,,784.68431,,,,,,,,,,
2003-07-28,Monday,157.76926,,,,,790.1078,,,,,,,,,,
2003-07-29,Tuesday,158.83934,,,,,785.1012,,,,,,,,,,
2003-07-30,Wednesday,162.88419,,,,,781.73293,,,,,,,,,,
2003-07-31,Thursday,163.18829,,,,,781.71801,,,,,,,,,,
2003-08-01,Friday,172.09212,start,0.0898301838901918,-100.0,-100.0,761.64975,start,-0.0293551938103617,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.13386525449064549, 'CL1_Comdty': -0.726057732309245}","{'GC1_Comdty': 0.0500517945497705, 'CL1_Comdty': 0.04582209412684168}",-0.1191853777005535,-0.0293551938103617,-0.0898301838901918
2003-08-02,Saturday,172.09212,,,,,761.64975,,,,,,,,,,
2003-08-03,Sunday,172.09212,,,,,761.64975,,,,,,,,,,
2003-08-04,Monday,167.24353,,,,,757.82721,,,,,,,,,,
2003-08-05,Tuesday,169.69157,,,,,760.5025,,,,,,,,,,
2003-08-06,Wednesday,166.40933,,,,,760.62237,,,,,,,,,,
2003-08-07,Thursday,170.42281,,,,,766.05898,,,,,,,,,,
2003-08-08,Friday,170.60961,start,-0.008614630350303,-100.0,-100.0,780.20568,start,0.0243628124344555,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.11484455529876382, 'CL1_Comdty': -0.7762863238677368}","{'CL1_Comdty': 0.026205846207277898, 'GC1_Comdty': 0.0022741539264226627}",0.032977442784758504,0.0243628124344555,0.008614630350303
2003-08-09,Saturday,170.60961,,,,,780.20568,,,,,,,,,,
2003-08-10,Sunday,170.60961,,,,,780.20568,,,,,,,,,,
2003-08-11,Monday,169.09705,,,,,789.1511,,,,,,,,,,
2003-08-12,Tuesday,169.90291,,,,,787.90901,,,,,,,,,,
2003-08-13,Wednesday,163.89493,,,,,796.09699,,,,,,,,,,
2003-08-14,Thursday,166.52701,,,,,809.20441,,,,,,,,,,
2003-08-15,Friday,166.09495,start,-0.0264619325957077,-100.0,-100.0,801.97222,start,0.0278984639024929,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.1710145005740899, 'CL1_Comdty': -0.7598775388718462}","{'CL1_Comdty': 0.013373015716880978, 'GC1_Comdty': 0.01206984328610233}",0.0543603964982006,0.0278984639024929,0.0264619325957077
2003-08-16,Saturday,166.09495,,,,,801.97222,,,,,,,,,,
2003-08-17,Sunday,166.09495,,,,,801.97222,,,,,,,,,,
2003-08-18,Monday,167.33375,,,,,801.42315,,,,,,,,,,
2003-08-19,Tuesday,166.55575,,,,,809.56475,,,,,,,,,,
2003-08-20,Wednesday,167.57434,,,,,816.86144,,,,,,,,,,
2003-08-21,Thursday,174.76029,,,,,817.66269,,,,,,,,,,
2003-08-22,Friday,175.43184,start,0.0562141714724016,-100.0,-100.0,827.52888,start,0.0318672634321422,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.1826641934720869, 'CL1_Comdty': -0.8175311585025087}","{'GC1_Comdty': 0.022377972102033405, 'CL1_Comdty': -0.06251394743579394}",-0.0243469080402594,0.0318672634321422,-0.0562141714724016
2003-08-23,Saturday,175.43184,,,,,827.52888,,,,,,,,,,
2003-08-24,Sunday,175.43184,,,,,827.52888,,,,,,,,,,
2003-08-25,Monday,173.81552,,,,,822.85388,,,,,,,,,,
2003-08-26,Tuesday,174.77155,,,,,827.22786,,,,,,,,,,
2003-08-27,Wednesday,171.20875,,,,,845.90248,,,,,,,,,,
2003-08-28,Thursday,172.98321,,,,,841.1272,,,,,,,,,,
2003-08-29,Friday,172.21445,start,-0.0183398293035061,-100.0,-100.0,847.25599,start,0.0238385758814846,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.2115112192005718, 'CL1_Comdty': -0.8112182157281443}","{'GC1_Comdty': 0.0406729772317911, 'CL1_Comdty': -0.05743853428606717}",0.042178405184990705,0.0238385758814846,0.0183398293035061
2003-08-30,Saturday,172.21445,,,,,847.25599,,,,,,,,,,
2003-08-31,Sunday,172.21445,,,,,847.25599,,,,,,,,,,
2003-09-01,Monday,172.21445,,,,,847.25599,,,,,,,,,,
2003-09-02,Tuesday,161.43734,,,,,846.8955,,,,,,,,,,
2003-09-03,Wednesday,161.86502,,,,,848.4235,,,,,,,,,,
2003-09-04,Thursday,158.82924,,,,,844.89699,,,,,,,,,,
2003-09-05,Friday,155.61023,start,-0.09641595115857,-100.0,-100.0,841.10616,start,-0.0072585264342597,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.21645976471224102, 'CL1_Comdty': -0.7283522547140676}","{'CL1_Comdty': 0.02043489418246717, 'GC1_Comdty': 0.009113787189143751}",0.0891574247243103,-0.0072585264342597,0.09641595115857
2003-09-06,Saturday,155.61023,,,,,841.10616,,,,,,,,,,
2003-09-07,Sunday,155.61023,,,,,841.10616,,,,,,,,,,
2003-09-08,Monday,155.20195,,,,,834.21319,,,,,,,,,,
2003-09-09,Tuesday,156.26287,,,,,845.02448,,,,,,,,,,
2003-09-10,Wednesday,158.26813,,,,,847.12225,,,,,,,,,,
2003-09-11,Thursday,155.29814,,,,,845.84368,,,,,,,,,,
2003-09-12,Friday,151.0052,start,-0.029593362852815,-100.0,-100.0,829.85325,start,-0.0133787035871905,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.21805295370091685, 'CL1_Comdty': -0.706855597984136}","{'GC1_Comdty': 0.025271274172629078, 'CL1_Comdty': 0.008366676604692267}",0.0162146592656245,-0.0133787035871905,0.029593362852815
2003-09-13,Saturday,151.0052,,,,,829.85325,,,,,,,,,,
2003-09-14,Sunday,151.0052,,,,,829.85325,,,,,,,,,,
2003-09-15,Monday,150.66072,,,,,828.90849,,,,,,,,,,
2003-09-16,Tuesday,149.09758,,,,,835.33587,,,,,,,,,,
2003-09-17,Wednesday,145.17997,,,,,835.32935,,,,,,,,,,
2003-09-18,Thursday,146.09029,,,,,837.12477,,,,,,,,,,
2003-09-19,Friday,143.50991,start,-0.0496359728009367,-100.0,-100.0,838.00838,start,0.0098271953505032,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.20862060978705513, 'CL1_Comdty': -0.6446148232291318}","{'GC1_Comdty': 0.04743738682601166, 'CL1_Comdty': -0.02796041558630597}",0.0594631681514399,0.0098271953505032,0.0496359728009367
2003-09-20,Saturday,143.50991,,,,,838.00838,,,,,,,,,,
2003-09-21,Sunday,143.50991,,,,,838.00838,,,,,,,,,,
2003-09-22,Monday,141.62966,,,,,840.68355,,,,,,,,,,
2003-09-23,Tuesday,141.44257,,,,,838.60473,,,,,,,,,,
2003-09-24,Wednesday,147.40366,,,,,843.07744,,,,,,,,,,
2003-09-25,Thursday,146.61823,,,,,831.70236,,,,,,,,,,
2003-09-26,Friday,145.74918,start,0.0156035914174847,-100.0,-100.0,821.52841,start,-0.019665638665809,100.0,100.0,"{'GC1_Comdty': 1.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -0.20336641294088592, 'CL1_Comdty': -0.6569334002334379}","{'GC1_Comdty': 0.06860373532685317, 'CL1_Comdty': -0.016891809184066128}",-0.035269230083293704,-0.019665638665809,-0.0156035914174847
2003-09-27,Saturday,145.74918,,,,,821.52841,,,,,,,,,,
2003-09-28,Sunday,145.74918,,,,,821.52841,,,,,,,,,,
2003-09-29,Monday,145.63448,,,,,816.92949,,,,,,,,,,
2003-09-30,Tuesday,148.36426,,,,,815.56665,,,,,,,,,,
2003-10-01,Wednesday,148.93331,,,,,811.08464,,,,,,,,,,
